ID,Name,Date,Status
0,Name_0,2004-01-01,Status_0
1,Name_1,2004-01-02,Status_1
2,Name_2,2004-01-03,Status_2
3,Name_3,2004-01-04,Status_0
4,Name_4,2004-01-05,Status_1
5,Name_5,2004-01-06,Status_2
6,Name_6,2004-01-07,Status_0
7,Name_7,2004-01-08,Status_1
8,Name_8,2004-01-09,Status_2
9,Name_9,2004-01-10,Status_0
10,Name_10,2004-01-11,Status_1
11,Name_11,2004-01-12,Status_2
12,Name_12,2004-01-13,Status_0
13,Name_13,2004-01-14,Status_1
14,Name_14,2004-01-15,Status_2
15,Name_15,2004-01-16,Status_0
16,Name_16,2004-01-17,Status_1
17,Name_17,2004-01-18,Status_2
18,Name_18,2004-01-19,Status_0
19,Name_19,2004-01-20,Status_1
20,Name_20,2004-01-21,Status_2
21,Name_21,2004-01-22,Status_0
22,Name_22,2004-01-23,Status_1
23,Name_23,2004-01-24,Status_2
24,Name_24,2004-01-25,Status_0
25,Name_25,2004-01-26,Status_1
26,Name_26,2004-01-27,Status_2
27,Name_27,2004-01-28,Status_0
28,Name_28,2004-01-29,Status_1
29,Name_29,2004-01-30,Status_2
30,Name_30,2004-01-31,Status_0
31,Name_31,2004-02-01,Status_1
32,Name_32,2004-02-02,Status_2
33,Name_33,2004-02-03,Status_0
34,Name_34,2004-02-04,Status_1
35,Name_35,2004-02-05,Status_2
36,Name_36,2004-02-06,Status_0
37,Name_37,2004-02-07,Status_1
38,Name_38,2004-02-08,Status_2
39,Name_39,2004-02-09,Status_0
40,Name_40,2004-02-10,Status_1
41,Name_41,2004-02-11,Status_2
42,Name_42,2004-02-12,Status_0
43,Name_43,2004-02-13,Status_1
44,Name_44,2004-02-14,Status_2
45,Name_45,2004-02-15,Status_0
46,Name_46,2004-02-16,Status_1
47,Name_47,2004-02-17,Status_2
48,Name_48,2004-02-18,Status_0
49,Name_49,2004-02-19,Status_1
50,Name_50,2004-02-20,Status_2
51,Name_51,2004-02-21,Status_0
52,Name_52,2004-02-22,Status_1
53,Name_53,2004-02-23,Status_2
54,Name_54,2004-02-24,Status_0
55,Name_55,2004-02-25,Status_1
56,Name_56,2004-02-26,Status_2
57,Name_57,2004-02-27,Status_0
58,Name_58,2004-02-28,Status_1
59,Name_59,2004-02-29,Status_2
60,Name_60,2004-03-01,Status_0
61,Name_61,2004-03-02,Status_1
62,Name_62,2004-03-03,Status_2
63,Name_63,2004-03-04,Status_0
64,Name_64,2004-03-05,Status_1
65,Name_65,2004-03-06,Status_2
66,Name_66,2004-03-07,Status_0
67,Name_67,2004-03-08,Status_1
68,Name_68,2004-03-09,Status_2
69,Name_69,2004-03-10,Status_0
70,Name_70,2004-03-11,Status_1
71,Name_71,2004-03-12,Status_2
72,Name_72,2004-03-13,Status_0
73,Name_73,2004-03-14,Status_1
74,Name_74,2004-03-15,Status_2
75,Name_75,2004-03-16,Status_0
76,Name_76,2004-03-17,Status_1
77,Name_77,2004-03-18,Status_2
78,Name_78,2004-03-19,Status_0
79,Name_79,2004-03-20,Status_1
80,Name_80,2004-03-21,Status_2
81,Name_81,2004-03-22,Status_0
82,Name_82,2004-03-23,Status_1
83,Name_83,2004-03-24,Status_2
84,Name_84,2004-03-25,Status_0
85,Name_85,2004-03-26,Status_1
86,Name_86,2004-03-27,Status_2
87,Name_87,2004-03-28,Status_0
88,Name_88,2004-03-29,Status_1
89,Name_89,2004-03-30,Status_2
90,Name_90,2004-03-31,Status_0
91,Name_91,2004-04-01,Status_1
92,Name_92,2004-04-02,Status_2
93,Name_93,2004-04-03,Status_0
94,Name_94,2004-04-04,Status_1
95,Name_95,2004-04-05,Status_2
96,Name_96,2004-04-06,Status_0
97,Name_97,2004-04-07,Status_1
98,Name_98,2004-04-08,Status_2
99,Name_99,2004-04-09,Status_0
100,Name_100,2004-04-10,Status_1
101,Name_101,2004-04-11,Status_2
102,Name_102,2004-04-12,Status_0
103,Name_103,2004-04-13,Status_1
104,Name_104,2004-04-14,Status_2
105,Name_105,2004-04-15,Status_0
106,Name_106,2004-04-16,Status_1
107,Name_107,2004-04-17,Status_2
108,Name_108,2004-04-18,Status_0
109,Name_109,2004-04-19,Status_1
110,Name_110,2004-04-20,Status_2
111,Name_111,2004-04-21,Status_0
112,Name_112,2004-04-22,Status_1
113,Name_113,2004-04-23,Status_2
114,Name_114,2004-04-24,Status_0
115,Name_115,2004-04-25,Status_1
116,Name_116,2004-04-26,Status_2
117,Name_117,2004-04-27,Status_0
118,Name_118,2004-04-28,Status_1
119,Name_119,2004-04-29,Status_2
120,Name_120,2004-04-30,Status_0
121,Name_121,2004-05-01,Status_1
122,Name_122,2004-05-02,Status_2
123,Name_123,2004-05-03,Status_0
124,Name_124,2004-05-04,Status_1
125,Name_125,2004-05-05,Status_2
126,Name_126,2004-05-06,Status_0
127,Name_127,2004-05-07,Status_1
128,Name_128,2004-05-08,Status_2
129,Name_129,2004-05-09,Status_0
130,Name_130,2004-05-10,Status_1
131,Name_131,2004-05-11,Status_2
132,Name_132,2004-05-12,Status_0
133,Name_133,2004-05-13,Status_1
134,Name_134,2004-05-14,Status_2
135,Name_135,2004-05-15,Status_0
136,Name_136,2004-05-16,Status_1
137,Name_137,2004-05-17,Status_2
138,Name_138,2004-05-18,Status_0
139,Name_139,2004-05-19,Status_1
140,Name_140,2004-05-20,Status_2
141,Name_141,2004-05-21,Status_0
142,Name_142,2004-05-22,Status_1
143,Name_143,2004-05-23,Status_2
144,Name_144,2004-05-24,Status_0
145,Name_145,2004-05-25,Status_1
146,Name_146,2004-05-26,Status_2
147,Name_147,2004-05-27,Status_0
148,Name_148,2004-05-28,Status_1
149,Name_149,2004-05-29,Status_2
150,Name_150,2004-05-30,Status_0
151,Name_151,2004-05-31,Status_1
152,Name_152,2004-06-01,Status_2
153,Name_153,2004-06-02,Status_0
154,Name_154,2004-06-03,Status_1
155,Name_155,2004-06-04,Status_2
156,Name_156,2004-06-05,Status_0
157,Name_157,2004-06-06,Status_1
