Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
178,893,534,542,899,559,681,416,246,909
532,815,588,263,880,770,571,809,27,606
954,140,189,498,716,335,937,110,316,24
373,144,795,162,794,805,567,577,29,709
947,594,353,347,58,16,913,84,457,266
261,448,706,938,750,912,320,112,79,436
69,841,844,653,581,55,596,24,165,100
251,685,770,568,148,485,386,315,625,458
393,836,867,217,270,651,885,101,876,234
340,254,432,147,726,14,611,932,807,44
897,620,318,570,409,305,227,340,698,662
913,168,650,908,530,681,880,703,303,927
906,565,685,3,126,625,160,345,225,494
61,588,552,266,686,986,339,178,3,523
515,796,12,301,798,390,496,747,887,168
798,714,484,823,703,152,271,963,866,630
832,739,675,713,900,805,88,852,429,775
209,205,124,386,968,414,626,285,71,12
251,880,952,101,489,917,386,229,103,459
976,604,774,566,271,884,1,495,931,743
649,69,844,87,526,567,900,140,148,445
26,70,123,137,223,521,340,142,440,767
228,410,187,225,425,509,654,575,371,705
891,309,462,748,147,423,590,375,398,414
150,186,728,914,933,378,567,146,957,718
307,123,171,285,617,577,523,283,51,298
814,893,220,744,531,776,562,930,819,716
342,54,171,12,535,223,675,821,844,435
661,190,818,197,913,572,339,849,42,194
85,944,621,101,269,475,113,232,96,452
735,584,179,741,722,168,854,642,986,373
483,881,742,132,353,188,960,937,767,838
988,865,564,92,740,270,316,516,375,343
13,193,814,961,452,299,733,463,111,977
995,742,958,992,310,998,646,807,732,178
664,428,34,520,316,759,506,478,549,682
16,680,564,218,793,222,391,259,433,397
433,488,214,480,945,627,932,397,380,570
148,663,378,135,704,729,503,242,577,102
873,971,976,790,386,600,786,831,55,63
15,37,275,309,791,71,670,833,615,367
260,378,985,81,475,778,951,507,413,848
600,895,68,641,596,921,233,352,464,273
251,912,579,9,661,20,763,350,907,42
569,711,50,642,600,778,544,344,713,178
93,656,365,915,973,516,751,754,844,206
805,182,27,294,5,321,832,150,423,90
37,760,209,270,409,250,546,350,317,823
994,743,684,947,238,27,517,163,857,512
98,844,201,239,433,631,945,250,161,264
304,523,638,384,194,274,559,517,851,159
76,349,567,732,354,513,600,375,538,772
635,176,505,200,548,953,64,65,360,481
917,411,715,458,919,934,671,155,671,872
971,77,736,4,699,257,400,137,830,144
655,41,537,319,480,945,411,500,198,991
512,105,413,454,937,785,493,928,632,371
549,822,534,535,95,867,171,602,958,752
974,328,103,182,965,245,535,339,65,639
319,607,292,122,505,747,496,392,937,75
935,762,77,478,636,217,663,280,207,951
25,922,479,863,968,326,707,824,664,206
154,928,834,911,927,601,502,148,630,641
479,158,50,292,133,139,377,658,679,781
925,403,950,63,743,79,268,256,992,325
161,648,575,449,919,844,258,260,288,682
235,888,445,189,851,984,658,740,490,688
493,834,80,626,509,913,166,363,396,671
410,141,93,109,434,108,743,369,96,856
79,250,648,349,467,997,383,363,174,149
807,305,788,622,506,100,24,916,982,538
625,59,289,75,97,818,5,315,217,772
859,342,56,524,150,711,324,76,836,163
527,833,917,552,38,507,927,264,918,381
828,295,165,593,284,932,330,55,849,523
726,359,503,760,113,857,208,710,623,720
709,481,516,377,873,421,360,110,755,88
767,773,641,318,783,10,163,341,850,487
560,565,17,985,135,564,749,847,248,335
163,139,769,128,131,549,605,260,967,474
98,681,339,239,118,898,387,907,721,438
152,343,912,954,550,190,457,119,611,406
407,356,473,698,284,298,146,287,983,78
445,427,233,367,862,407,773,45,190,952
474,800,350,554,247,918,844,71,523,487
743,6,475,924,384,271,909,501,68,165
429,875,648,882,337,769,145,752,820,950
960,473,374,269,91,800,261,760,862,126
505,303,799,870,620,584,474,148,17,520
364,447,800,783,289,423,129,440,411,83
737,205,41,281,981,207,658,941,385,921
393,46,606,149,93,339,133,529,753,290
899,6,663,231,975,870,765,536,288,852
293,185,884,192,550,916,483,602,731,188
494,903,484,71,423,498,43,964,331,346
861,367,28,757,370,927,76,369,432,828
170,852,328,16,739,909,668,75,829,449
742,319,14,943,289,443,645,350,395,994
226,221,642,537,317,730,385,728,966,417
997,922,706,815,835,208,951,449,980,579
462,652,998,894,475,753,938,305,651,790
490,417,808,682,289,559,828,698,669,942
916,758,154,128,174,843,502,54,3,115
851,221,909,534,609,283,225,149,547,705
677,13,994,671,631,51,136,214,973,421
507,258,439,231,330,721,213,881,662,867
322,939,276,26,529,6,543,58,638,183
599,838,568,102,443,462,283,310,733,490
578,285,449,375,279,551,599,340,849,986
541,56,76,794,7,758,999,565,129,386
174,818,223,744,431,631,912,339,448,645
911,7,641,958,851,758,351,136,490,685
185,930,921,751,787,127,536,812,938,514
285,89,874,248,250,490,595,499,176,915
825,457,213,477,305,949,957,368,921,361
602,782,107,999,805,437,647,363,249,763
339,76,847,871,857,621,132,317,119,794
418,458,819,963,691,795,820,49,98,304
400,3,845,604,107,682,51,973,5,925
987,179,589,379,679,95,743,321,894,587
320,585,797,781,527,652,41,935,405,589
860,917,530,121,980,645,994,105,891,828
540,171,514,801,805,456,24,28,804,509
859,924,358,506,236,93,32,717,378,532
629,559,840,824,698,750,837,786,66,132
54,541,771,371,246,710,884,927,816,491
621,702,400,566,530,116,720,36,635,849
629,297,394,774,675,110,177,391,551,892
350,139,46,873,370,145,390,306,977,770
276,570,664,683,523,306,810,278,683,185
711,936,75,790,754,737,725,14,969,781
200,904,13,890,601,603,960,540,760,678
477,890,650,342,663,812,63,770,319,328
372,481,534,996,267,600,209,693,680,123
427,759,434,177,27,624,758,200,819,772
811,968,297,317,833,496,774,882,233,630
741,439,327,770,626,970,478,612,646,71
505,223,94,739,736,894,271,350,372,732
11,797,130,635,832,653,318,578,677,965
891,434,21,731,327,71,254,696,326,920
385,126,35,977,822,97,90,781,994,32
756,710,393,834,693,60,280,173,766,240
651,827,564,677,79,322,993,506,803,644
600,34,200,736,963,404,409,187,204,256
336,761,455,73,214,956,537,988,777,662
580,613,495,625,750,677,817,505,310,920
518,627,795,583,870,63,427,331,638,188
321,269,961,579,774,628,727,826,310,903
737,320,986,824,830,862,500,97,133,935
236,744,293,227,201,662,130,899,534,647
486,171,449,492,597,594,830,63,697,729
559,53,48,165,255,422,54,8,148,960
963,609,948,101,656,865,918,763,696,825
163,348,907,200,756,926,130,494,320,418
241,771,2,16,83,982,826,686,333,828
146,278,22,558,936,605,903,20,124,185
528,234,188,88,483,416,550,120,38,884
407,389,972,760,368,304,80,284,915,450
633,103,141,377,171,786,703,960,900,451
641,942,811,257,443,583,871,533,375,261
27,86,383,351,82,112,951,695,63,796
245,705,934,157,810,946,615,256,963,530
307,219,743,181,867,197,775,98,558,328
877,843,316,340,510,906,390,474,577,318
21,566,446,780,80,941,673,841,794,679
763,169,170,720,52,500,712,84,945,98
795,220,846,913,417,250,875,597,646,745
902,915,279,248,242,284,54,488,920,367
842,371,861,185,751,256,586,932,97,414
361,888,8,275,335,770,299,32,499,234
338,158,865,969,476,913,93,496,86,275
565,964,330,65,421,610,355,302,754,129
939,584,534,390,861,638,291,936,51,550
719,721,602,609,113,131,165,60,75,29
551,30,535,713,868,235,219,483,439,112
54,631,468,406,929,368,938,717,37,8
108,71,824,690,682,555,589,238,242,54
447,376,340,844,786,170,453,162,884,145
424,892,326,224,720,882,700,79,555,607
505,670,147,404,91,761,8,560,88,835
